"","Year","Average Number","Lower Estimate (CI)","Upper Estimate (CI)","Estimation Uncertainty (SE)","Lower 95% CI for the Mean","Upper 95% CI for the Mean"
"1",2026,23.672,19,28.00025,0,23.672,23.672
"2",2027,16.3185,10.39875,21.871,0.107148801941859,16.108488348194,16.528511651806
"3",2028,13.2195,8.00975,19.04075,0.0930922731118501,13.0370391447008,13.4019608552992
"4",2029,11.198,6.00975,17.22125,0.094282886179108,11.0132055430889,11.3827944569111
"5",2030,9.649,4.60825,15.692,0.0946578415647481,9.4634706305331,9.83452936946691
"6",2031,10.1625,1.25375,17.62175,0.117156483026555,9.93287329326795,10.392126706732
"7",2032,11.4155,0.07925,20.46225,0.143114777346539,11.1349950364008,11.6960049635992
"8",2033,12.981,0,24.04425,0.152454629448909,12.6821889262801,13.2798110737199
"9",2034,14.615,0,28.06225,0.200436595178796,14.2221442734496,15.0078557265504
"10",2035,16.181,0,31.5865,0.265683137773118,15.6602610499647,16.7017389500353
"11",2036,18.006,0,35.9455,0.258889133285531,17.4985772987604,18.5134227012396
"12",2037,19.969,0,39.8655,0.291051282231996,19.3985394868253,20.5394605131747
"13",2038,22.0425,0,45.10625,0.334254647225613,21.3873608914378,22.6976391085622
"14",2039,24.429,0,51.3175,0.455849414264018,23.5355351480425,25.3224648519575
"15",2040,27.1935,0,58.80025,0.461452138757246,26.2890538080358,28.0979461919642
"16",2041,30.1825,0,67.76325,0.539906994890151,29.1242822900153,31.2407177099847
"17",2042,33.4645,0,74.47325,0.588872137516655,32.3103106104674,34.6186893895326
"18",2043,36.9825,0,81.8935,0.595432763338201,35.8154517838571,38.1495482161429
"19",2044,40.8085,0,92.43075,0.682992072879446,39.4698355371563,42.1471644628437
"20",2045,44.9025,0,102.958,0.748703860756114,43.435040432918,46.369959567082
"21",2046,49.645,0,113.87025,1.05592801331006,47.5753810939123,51.7146189060877
"22",2047,54.652,0,125.48925,1.02770189222991,52.6377042912294,56.6662957087706
"23",2048,59.912,0,139.9955,1.15488818821249,57.6484191511035,62.1755808488965
"24",2049,65.765,0,155.17475,1.15950706397768,63.4923661546038,68.0376338453963
"25",2050,72.306,0,171.1255,1.27466311081031,69.8076603028118,74.8043396971882
"26",2051,79.239,0,185.6725,1.3854824043734,76.5234544874282,81.9545455125719
"27",2052,86.614,0,204.04975,1.43131583580221,83.8086209618277,89.4193790381723
"28",2053,94.445,0,221.489,1.72291427232987,91.0680880262334,97.8219119737665
"29",2054,103.9755,0,248.084,1.83396101552477,100.380936409571,107.570063590429
"30",2055,113.511,0,261.45675,2.183741731501,109.230866206258,117.791133793742
"31",2056,122.6625,0,284.90225,2.65168738980151,117.465192715989,127.859807284011
"32",2057,132.926,0,311.458,2.53256353796669,127.962175465585,137.889824534415
"33",2058,144.1315,0,336.27825,2.79085314154593,138.66142784257,149.60157215743
"34",2059,155.384,0,350.68075,3.08286123984545,149.341591969903,161.426408030097
"35",2060,167.217,0,384.35825,3.04582791060331,161.247177295218,173.186822704782
"36",2061,180.547,0,405.9365,3.51554312863502,173.656535467875,187.437464532125
"37",2062,193.6995,0,422.39,3.59542954288897,186.652458095938,200.746541904062
"38",2063,206.8765,0,433.478,3.4638205024411,200.087411815215,213.665588184785
"39",2064,221.127,0,467.17525,3.57268782244778,214.124531868002,228.129468131998
"40",2065,236.3255,0,500.323,3.71307978999492,229.04786361161,243.60313638839
