"CellID","BlockID","Celldens"
"11509","S1",1.20444728341359e-05
"11510","S1",1.47473424313071e-05
"11511","S1",1.62202545151588e-05
"11512","S1",2.78679015507588e-05
"11513","S1",2.91687208138168e-05
"11514","S1",1.06687425784971e-05
"11515","S1",2.47712430871832e-06
"11989","S1",9.2496854244467e-05
"11990","S1",6.4388022744597e-05
"11991","S1",7.25745794608231e-05
"11992","S1",0.00011897586550035
"11993","S1",0.000130425099636682
"11994","S1",0.000137430289753695
"11995","S1",0.000106698561202787
"11996","S1",4.42855566544751e-05
"11997","S1",2.04537379066832e-05
"11998","S1",7.98713150624748e-06
"11999","S1",1.14188648150154e-06
"12468","S1",0.00114030322755024
"12469","S1",0.000348548700749819
"12470","S1",0.000198621435274372
"12471","S1",0.000213080269153172
"12472","S1",0.000217806747860734
"12473","S1",0.000213382950055626
"12474","S1",0.000201210926071961
"12475","S1",0.000205510209659671
"12476","S1",0.000126625897539984
"12477","S1",4.68517643057219e-05
"12478","S1",2.66976703693618e-05
"12479","S1",1.53597904111905e-05
"12949","S1",0.00235417411136835
"12950","S1",0.00104332689841158
"12951","S1",0.000372486812122218
"12952","S1",0.000309995859649194
"12953","S1",0.000321633383577688
"12954","S1",0.000349228973547309
"12955","S1",0.000351713184031001
"12956","S1",0.000292708629645114
"12957","S1",0.000195326363911528
"12958","S1",9.1673845636789e-05
"12959","S1",4.0989472980921e-05
"12960","S1",7.49413619020913e-06
"13428","S1",0.000196061301487388
"13429","S1",0.00151114199783568
"13430","S1",0.00201271867176736
"13431","S1",0.000526761952099482
"13432","S1",0.00036550794208368
"13433","S1",0.000352017889554877
"13434","S1",0.000388442853541923
"13435","S1",0.000378811729441741
"13436","S1",0.000318908243144885
"13437","S1",0.000208774911701198
"13438","S1",0.000116941120972142
"13439","S1",6.14958510445528e-05
"13910","S1",0.000813572859544926
"13911","S1",0.00269674005581881
"13912","S1",0.00150063724959229
"13913","S1",0.000485048676960517
"13914","S1",0.000464067525173637
"13915","S1",0.000482144357531946
"13916","S1",0.000471939253258881
"13917","S1",0.000391480797984287
"13918","S1",0.000285410881732752
"13919","S1",0.000190945083156263
"13920","S1",4.31892241549483e-05
"14390","S1",0.000131941541081087
"14391","S1",0.0010065628103365
"14392","S1",0.00230639102120892
"14393","S1",0.000935838734854566
"14394","S1",0.000656601936145465
"14395","S1",0.000663116155567861
"14396","S1",0.000612364970405096
"14397","S1",0.000516146861988644
"14398","S1",0.000391152809314068
"14399","S1",0.000256062981923168
"14872","S1",0.000253575734507344
"14873","S1",0.00238368398089162
"14874","S1",0.00210551213305002
"14875","S1",0.00151022383202121
"14876","S1",0.000989512461038691
"14877","S1",0.000822048937124369
"14878","S1",0.000666107533717539
"14879","S1",0.00051669047284021
"14880","S1",0.000149930302407579
"15353","S1",0.00051264831617298
"15354","S1",0.00196914780647454
"15355","S1",0.00176385828054977
"15356","S1",0.0013534209521997
"15357","S1",0.000993612319416423
"15358","S1",0.000802020369716118
"15359","S1",0.000601582849027018
"15834","S1",9.19684280535593e-05
"15835","S1",0.00167515455453773
"15836","S1",0.00184491399914359
"15837","S1",0.00143903510592313
"15838","S1",0.00110537243417197
"15839","S1",0.000912301498523545
"15840","S1",0.00030129909833485
"16314","S1",0.00067329190283032
"16315","S1",0.00181279439260851
"16316","S1",0.0019928905418798
"16317","S1",0.00169373349300848
"16318","S1",0.00121141704265574
"16319","S1",0.000957566971945833
"16795","S1",0.000755440916991534
"16796","S1",0.00165251726242839
"16797","S1",0.00243112491003089
"16798","S1",0.00189040825478646
"16799","S1",0.00123926975954584
"16800","S1",0.000450498512409411
"17275","S1",1.2344116804459e-05
"17276","S1",0.00107592431560204
"17277","S1",0.00219115463147335
"17278","S1",0.00209776593149289
"17279","S1",0.00120219489208262
"17757","S1",0.000884712994728898
"17758","S1",0.00200062763264054
"17759","S1",0.00253106528493003
"17760","S1",0.000745087003044018
"18237","S1",0.000272026109517847
"18238","S1",0.0016849284144481
"18239","S1",0.003
"18718","S1",4.58252812452232e-05
"18719","S1",0.00150516835233272
"18720","S1",0.00104694894613393
"19199","S1",0.000538894495965436
"10052","S2",0.00780927925632397
"10053","S2",0.00788742937977208
"10054","S2",0.00298593745881402
"10055","S2",0.00158383488705157
"10056","S2",0.00127681372075246
"10057","S2",0.000394735223568485
"10058","S2",5.80469717870542e-05
"10531","S2",0.000376608998971998
"10532","S2",0.00927466106683771
"10533","S2",0.0142971057787775
"10534","S2",0.00484636640805532
"10535","S2",0.00335543391352482
"10536","S2",0.00201429537926247
"10537","S2",0.000922359484417422
"10538","S2",0.000601389999384956
"10539","S2",0.000392661646736313
"10540","S2",0.000250068094154446
"10541","S2",0.000133192166097019
"10542","S2",4.96823737182923e-05
"10543","S2",1.03810636746242e-05
"10544","S2",1.26962649257993e-06
"11013","S2",0.0046297391334909
"11014","S2",0.0131252800646675
"11015","S2",0.0047537891102071
"11016","S2",0.00444988709549876
"11017","S2",0.00281334733290573
"11018","S2",0.00174609227416903
"11019","S2",0.00122296662068481
"11020","S2",0.0010165183239173
"11021","S2",0.000921647790674176
"11022","S2",0.000790928979993498
"11023","S2",0.000670490190048589
"11024","S2",0.000483811163926792
"11025","S2",0.000305171641200917
"11026","S2",0.000119032975143437
"11027","S2",5.49585723950691e-06
"11493","S2",0.000424182650488081
"11494","S2",0.0128810988199942
"11495","S2",0.017
"11496","S2",0.0107055784488591
"11497","S2",0.00613262984017643
"11498","S2",0.00388698127630411
"11499","S2",0.00371175085447181
"11500","S2",0.00296144992224087
"11501","S2",0.00232861360301547
"11502","S2",0.00185758656743957
"11503","S2",0.0016607637088909
"11504","S2",0.00157213147882931
"11505","S2",0.00117016509537575
"11506","S2",0.000472314234753499
"11507","S2",0.000219390579283562
"11508","S2",0.000115443754228427
"11975","S2",0.000510649047121155
"11976","S2",0.0019741725461942
"11977","S2",0.00336234876507956
"11978","S2",0.00367099101157161
"11979","S2",0.00619480639294281
"11980","S2",0.00498031419960813
"11981","S2",0.00457024680836109
"11982","S2",0.00371688647166844
"11983","S2",0.00363747990124151
"11984","S2",0.00309387767653959
"11985","S2",0.00308308365476703
"11986","S2",0.0027526952105647
"11987","S2",0.00143867572245701
"11988","S2",0.000581409856519027
"12458","S2",0.000431730118703487
"12459","S2",0.00273103248310826
"12460","S2",0.0020910221152241
"12461","S2",0.00205593824958485
"12462","S2",0.000616471756302004
"12463","S2",0.00397032852134642
"12464","S2",0.0057955637756671
"12465","S2",0.00715149851071494
"12466","S2",0.00782102220308752
"12467","S2",0.00911669141486473
"12944","S2",0.000697367611784243
"12945","S2",0.00180930122218024
"12946","S2",0.00101381652359572
"12947","S2",0.00131255216890865
"12948","S2",0.00257923962991925
"8612","S2",9.69528964178081e-05
"9093","S2",0.00104992839130855
"9094","S2",0.000237661778531451
"9572","S2",0.00284265417834518
"9573","S2",0.00127374728721675
"9574","S2",0.000802351225255463
"9575","S2",0.000266494161475403
"10035","S3",1.13340159459053e-06
"10036","S3",1.4923120995442e-05
"10037","S3",2.56632072769147e-06
"10038","S3",5.29941826659897e-06
"10039","S3",3.06324755294738e-08
"10044","S3",0.000270013359162939
"10045","S3",0.000909702836623961
"10046","S3",0.00149078387937612
"10047","S3",0.00180446723601472
"10048","S3",0.00184759265614763
"10049","S3",0.00200670113765611
"10050","S3",0.00242839290120743
"10051","S3",0.00248922729580477
"10525","S3",0.000114151920060584
"10526","S3",0.000199808830661973
"10527","S3",0.000362998238632657
"10528","S3",0.000584171519172243
"10529","S3",0.000867079448728894
"10530","S3",0.000522949113218197
"5235","S3",4.78206979099008e-07
"5714","S3",3.90547044958831e-05
"5715","S3",1.31549464357129e-05
"6194","S3",8.09054732859286e-05
"6195","S3",8.50017159858977e-05
"6196","S3",6.33888026956579e-05
"6197","S3",6.29122975207549e-05
"6198","S3",4.16959046082021e-05
"6199","S3",9.15570657492051e-06
"6673","S3",0.000339664801300178
"6674","S3",0.000275610593163853
"6675","S3",0.000376915593348215
"6676","S3",0.000369761208507886
"6677","S3",0.000198248276214166
"6678","S3",0.000126896731685041
"6679","S3",3.69002203836434e-05
"7154","S3",0.000893367218145771
"7155","S3",0.000678499122152669
"7156","S3",0.000621041107080356
"7157","S3",0.000485899134065298
"7158","S3",0.00023120881988388
"7159","S3",0.00016481122736955
"7160","S3",0.000108416839919788
"7161","S3",6.3142041087226e-05
"7162","S3",2.24978514722024e-05
"7633","S3",0.00193236122495866
"7634","S3",0.00123121279076034
"7635","S3",0.00102406578040486
"7636","S3",0.000886457893109679
"7637","S3",0.000785731506351984
"7638","S3",0.000609798988561039
"7639","S3",0.000469949825139619
"7640","S3",0.000318279929772214
"7641","S3",0.000242789597438217
"7642","S3",0.000175816795105611
"7643","S3",0.000121488397949893
"7644","S3",4.27816556853024e-05
"8114","S3",0.00224648534888404
"8115","S3",0.00145936006489547
"8116","S3",0.00111638185082552
"8117","S3",0.00105565977530512
"8118","S3",0.00103015653762264
"8119","S3",0.00101523852203978
"8120","S3",0.000926176301242034
"8121","S3",0.000659566550471258
"8122","S3",0.000603859691916714
"8123","S3",0.000568700417225662
"8124","S3",0.00059792379888078
"8125","S3",0.000365768775863878
"8126","S3",0.000185527289848454
"8127","S3",9.97733764078884e-05
"8128","S3",5.15204202321828e-05
"8129","S3",2.75743333891147e-05
"8130","S3",8.49710835103683e-06
"8131","S3",2.38082407031855e-06
"8593","S3",0.00280635170052784
"8594","S3",0.00223976322230952
"8595","S3",0.00184675366667896
"8596","S3",0.00150989514049812
"8597","S3",0.00149805909231437
"8598","S3",0.00149683549509739
"8599","S3",0.00157320906380915
"8600","S3",0.00155658243681343
"8601","S3",0.00147430190573707
"8602","S3",0.00128057362146769
"8603","S3",0.00122570234877342
"8604","S3",0.00107185074042664
"8605","S3",0.000942629344209753
"8606","S3",0.000781138336826759
"8607","S3",0.00068142622536993
"8608","S3",0.000564706282777458
"8609","S3",0.00054234117203255
"8610","S3",0.000497828781479832
"8611","S3",0.000362989729611677
"9074","S3",0.003
"9075","S3",0.00267162666954083
"9076","S3",0.00213197434813808
"9077","S3",0.00194924312258379
"9078","S3",0.00197309390839188
"9079","S3",0.00201876352579793
"9080","S3",0.00200455516256485
"9081","S3",0.00216519696965399
"9082","S3",0.0023452733806624
"9083","S3",0.00201036512209027
"9084","S3",0.0017457515876415
"9085","S3",0.00161628342981618
"9086","S3",0.00155395314933048
"9087","S3",0.00141694429711232
"9088","S3",0.00127963082194306
"9089","S3",0.00125986947161816
"9090","S3",0.00123319198904038
"9091","S3",0.00119633261195744
"9092","S3",0.000930953265620435
"9553","S3",0.000945925738937564
"9554","S3",0.00109953228748011
"9555","S3",0.00116074448260898
"9556","S3",0.00105913315766932
"9557","S3",0.00106123658765568
"9558","S3",0.00110025385245925
"9559","S3",0.00105302708421378
"9560","S3",0.00105378438708104
"9561","S3",0.000937956189887312
"9562","S3",0.000549931218747075
"9563","S3",0.000447278389639416
"9564","S3",0.00172283168872867
"9565","S3",0.00202245303729504
"9566","S3",0.00173837086284309
"9567","S3",0.0015175906990728
"9568","S3",0.00144143836490653
"9569","S3",0.00144861487320141
"9570","S3",0.00146669143737219
"9571","S3",0.00140294355399116
"10014","S4",0
"10015","S4",0
"10016","S4",0
"10017","S4",0
"10018","S4",0
"10019","S4",0
"10020","S4",0
"10021","S4",0
"10022","S4",0
"10023","S4",0
"10024","S4",0
"10025","S4",0
"10026","S4",0
"10027","S4",0
"10028","S4",0
"10029","S4",0
"10494","S4",0
"10495","S4",0
"10496","S4",0
"10497","S4",0
"10498","S4",0
"10499","S4",0
"10500","S4",0
"10501","S4",0
"10502","S4",0
"10503","S4",0
"10974","S4",0
"10975","S4",0
"10976","S4",0
"10977","S4",0
"10978","S4",0
"10979","S4",0
"10980","S4",0
"10981","S4",0
"11454","S4",0
"11455","S4",0
"11456","S4",0
"11457","S4",0
"11458","S4",0
"4263","S4",0
"4264","S4",0
"4265","S4",0
"4266","S4",0
"4267","S4",0
"4268","S4",0
"4269","S4",0
"4740","S4",0
"4741","S4",0
"4742","S4",0
"4743","S4",0
"4744","S4",0
"4745","S4",0
"4746","S4",0
"4747","S4",0
"4748","S4",0
"4749","S4",0
"4750","S4",0
"5219","S4",0
"5220","S4",0
"5221","S4",0
"5222","S4",0
"5223","S4",0
"5224","S4",0
"5225","S4",0
"5226","S4",0
"5227","S4",0
"5228","S4",0
"5229","S4",0
"5230","S4",0
"5231","S4",0
"5232","S4",0
"5233","S4",0
"5696","S4",0
"5697","S4",0
"5698","S4",0
"5699","S4",0
"5700","S4",0
"5701","S4",0
"5702","S4",0
"5703","S4",0
"5704","S4",0
"5705","S4",0
"5706","S4",0
"5707","S4",0
"5708","S4",0
"5709","S4",0
"5710","S4",0
"5711","S4",0
"5712","S4",0
"5713","S4",0
"6176","S4",0
"6177","S4",0
"6178","S4",0
"6179","S4",0
"6180","S4",0
"6181","S4",0
"6182","S4",0
"6183","S4",0
"6184","S4",0
"6185","S4",0
"6186","S4",0
"6187","S4",0
"6188","S4",0
"6189","S4",0
"6190","S4",0
"6191","S4",0
"6192","S4",0
"6193","S4",0
"6655","S4",0
"6656","S4",0
"6657","S4",0
"6658","S4",0
"6659","S4",0
"6660","S4",0
"6661","S4",0
"6662","S4",0
"6663","S4",0
"6664","S4",0
"6665","S4",0
"6666","S4",0
"6667","S4",0
"6668","S4",0
"6669","S4",0
"6670","S4",0
"6671","S4",0
"6672","S4",0
"7135","S4",0
"7136","S4",0
"7137","S4",0
"7138","S4",0
"7139","S4",0
"7140","S4",0
"7141","S4",0
"7142","S4",0
"7143","S4",0
"7144","S4",0
"7145","S4",0
"7146","S4",0
"7147","S4",0
"7148","S4",0
"7149","S4",0
"7150","S4",0
"7151","S4",0
"7152","S4",0
"7153","S4",0
"7614","S4",0
"7615","S4",0
"7616","S4",0
"7617","S4",0
"7618","S4",0
"7619","S4",0
"7620","S4",0
"7621","S4",0
"7622","S4",0
"7623","S4",0
"7624","S4",0
"7625","S4",0
"7626","S4",0
"7627","S4",0
"7628","S4",0
"7629","S4",0
"7630","S4",0
"7631","S4",0
"7632","S4",0
"8094","S4",0
"8095","S4",0
"8096","S4",0
"8097","S4",0
"8098","S4",0
"8099","S4",0
"8100","S4",0
"8101","S4",0
"8102","S4",0
"8103","S4",0
"8104","S4",0
"8105","S4",0
"8106","S4",0
"8107","S4",0
"8108","S4",0
"8109","S4",0
"8110","S4",0
"8111","S4",0
"8112","S4",0
"8113","S4",0
"8574","S4",0
"8575","S4",0
"8576","S4",0
"8577","S4",0
"8578","S4",0
"8579","S4",0
"8580","S4",0
"8581","S4",0
"8582","S4",0
"8583","S4",0
"8584","S4",0
"8585","S4",0
"8586","S4",0
"8587","S4",0
"8588","S4",0
"8589","S4",0
"8590","S4",0
"8591","S4",0
"8592","S4",0
"9054","S4",0
"9055","S4",0
"9056","S4",0
"9057","S4",0
"9058","S4",0
"9059","S4",0
"9060","S4",0
"9061","S4",0
"9062","S4",0
"9063","S4",0
"9064","S4",0
"9065","S4",0
"9066","S4",0
"9067","S4",0
"9068","S4",0
"9069","S4",0
"9070","S4",0
"9071","S4",0
"9072","S4",0
"9073","S4",0
"9534","S4",0
"9535","S4",0
"9536","S4",0
"9537","S4",0
"9538","S4",0
"9539","S4",0
"9540","S4",0
"9541","S4",0
"9542","S4",0
"9543","S4",0
"9544","S4",0
"9545","S4",0
"9546","S4",0
"9547","S4",0
"9548","S4",0
"9549","S4",0
"9550","S4",0
"9551","S4",0
"9552","S4",0
"10006","S5",0
"10007","S5",0
"10008","S5",0
"10009","S5",0
"10010","S5",0
"10011","S5",0
"10012","S5",0
"10013","S5",0
"10485","S5",0
"10486","S5",0
"10487","S5",0
"10488","S5",0
"10489","S5",0
"10490","S5",0
"10491","S5",0
"10492","S5",0
"10493","S5",0
"10969","S5",0
"10970","S5",0
"10971","S5",0
"10972","S5",0
"10973","S5",0
"4718","S5",0
"5198","S5",0
"5199","S5",0
"5200","S5",0
"5677","S5",0
"5678","S5",0
"5679","S5",0
"5680","S5",0
"6157","S5",0
"6158","S5",0
"6159","S5",0
"6160","S5",0
"6161","S5",0
"6162","S5",0
"6636","S5",0
"6637","S5",0
"6638","S5",0
"6639","S5",0
"6640","S5",0
"6641","S5",0
"6642","S5",0
"6643","S5",0
"7117","S5",0
"7118","S5",0
"7119","S5",0
"7120","S5",0
"7121","S5",0
"7122","S5",0
"7123","S5",0
"7124","S5",0
"7125","S5",0
"7597","S5",0
"7598","S5",0
"7599","S5",0
"7600","S5",0
"7601","S5",0
"7602","S5",0
"7603","S5",0
"7604","S5",0
"7605","S5",0
"7606","S5",0
"7607","S5",0
"7608","S5",0
"7611","S5",0
"7612","S5",0
"7613","S5",0
"8078","S5",0
"8079","S5",0
"8080","S5",0
"8081","S5",0
"8082","S5",0
"8083","S5",0
"8084","S5",0
"8085","S5",0
"8086","S5",0
"8087","S5",0
"8088","S5",0
"8089","S5",0
"8090","S5",0
"8092","S5",0
"8093","S5",0
"8560","S5",0
"8561","S5",0
"8562","S5",0
"8563","S5",0
"8564","S5",0
"8565","S5",0
"8566","S5",0
"8567","S5",0
"8568","S5",0
"8569","S5",0
"8570","S5",0
"8571","S5",0
"8572","S5",0
"8573","S5",0
"9043","S5",0
"9044","S5",0
"9045","S5",0
"9046","S5",0
"9047","S5",0
"9048","S5",0
"9049","S5",0
"9050","S5",0
"9051","S5",0
"9052","S5",0
"9053","S5",0
"9524","S5",0
"9525","S5",0
"9526","S5",0
"9527","S5",0
"9528","S5",0
"9529","S5",0
"9530","S5",0
"9531","S5",0
"9532","S5",0
"9533","S5",0
"1343","S6",3.45616103690775e-07
"1344","S6",1.79807103940836e-06
"1345","S6",3.23897208063563e-06
"1346","S6",5.20847137609067e-06
"1347","S6",5.89051505320826e-06
"1348","S6",8.72164375589029e-06
"1349","S6",1.14265590494681e-05
"1350","S6",1.0274050492763e-05
"1351","S6",9.80883186972884e-06
"1352","S6",9.67994984457435e-06
"1353","S6",1.37095297552812e-05
"1354","S6",1.81954733357646e-05
"1355","S6",3.39205360133678e-06
"1820","S6",5.70416680742606e-08
"1821","S6",6.84257415432012e-07
"1822","S6",2.39987428392389e-06
"1823","S6",4.45458734189284e-06
"1824","S6",6.5576993909551e-06
"1825","S6",1.27184724696167e-05
"1826","S6",1.65526065798246e-05
"1827","S6",1.58379633316386e-05
"1828","S6",1.64798564672727e-05
"1829","S6",2.38793525961722e-05
"1830","S6",9.61209118394182e-05
"1831","S6",0.000495433361109179
"1832","S6",0.000865348244993752
"1833","S6",0.000107120158743839
"1834","S6",1.00957990706787e-05
"1835","S6",4.58213505902221e-08
"2300","S6",8.79218013012778e-07
"2301","S6",2.12085228076e-06
"2302","S6",3.91901429571553e-06
"2303","S6",7.33335690610845e-06
"2304","S6",1.17349358291848e-05
"2305","S6",1.86416174190759e-05
"2306","S6",2.51696891068366e-05
"2307","S6",3.05821276596777e-05
"2308","S6",2.49350025203259e-05
"2309","S6",0.000105002096379859
"2310","S6",0.000219136136233335
"2311","S6",0.000434467614433744
"2312","S6",0.001380455735332
"2313","S6",0.000996913381635688
"2314","S6",1.76010087853873e-05
"2315","S6",3.87006945133921e-06
"2780","S6",3.05729391294137e-06
"2781","S6",5.85894653834101e-06
"2782","S6",1.00219572515608e-05
"2783","S6",1.39860954186716e-05
"2784","S6",2.31480001724896e-05
"2785","S6",4.72182194666201e-05
"2786","S6",0.000175882418836014
"2787","S6",0.000926511924134642
"2788","S6",0.000199930076194447
"2789","S6",0.000230079706102888
"2790","S6",0.000463791974828643
"2791","S6",0.000489714425937929
"2792","S6",0.000500835428449643
"2793","S6",2.9010949634906e-05
"2794","S6",1.29215905412602e-05
"2795","S6",3.49916214553577e-06
"3261","S6",9.13160989661114e-06
"3262","S6",1.46096721441426e-05
"3263","S6",2.25932312858599e-05
"3264","S6",3.34939516726976e-05
"3265","S6",5.12289674390632e-05
"3266","S6",8.71909037553311e-05
"3267","S6",0.002
"3268","S6",0.00105879419068972
"3269","S6",0.00033316088412948
"3270","S6",0.000310825750470935
"3271","S6",0.000464465861031698
"3272","S6",0.000239004558905969
"3273","S6",3.63790288748502e-05
"3274","S6",1.96602706207146e-05
"3275","S6",1.14697724343728e-05
"3276","S6",3.94348671790369e-06
"3741","S6",2.22936184838537e-05
"3742","S6",2.93821905177158e-05
"3743","S6",3.77859960369839e-05
"3744","S6",5.01683441849977e-05
"3745","S6",6.32711580162163e-05
"3746","S6",0.000297351422830265
"3747","S6",0.0012027643587161
"3748","S6",0.000266514290711876
"3749","S6",0.000310607014930361
"3750","S6",0.000345932516643825
"3751","S6",0.000253609166744653
"3752","S6",4.84795651029203e-05
"3753","S6",2.80248656791534e-05
"3754","S6",1.57491408724203e-05
"3755","S6",1.06850173645027e-05
"3756","S6",6.16971900746649e-06
"3757","S6",7.24771859104108e-07
"387","S6",6.68185068765687e-07
"388","S6",1.18522942850314e-06
"389","S6",1.48077865606919e-06
"390","S6",1.19560064088027e-06
"391","S6",5.92584389069179e-07
"392","S6",6.2773127545837e-09
"394","S6",9.46752194193735e-07
"395","S6",5.30690691812632e-07
"4222","S6",3.6550305504985e-05
"4223","S6",3.97591040291432e-05
"4224","S6",4.67587929534223e-05
"4225","S6",4.46821244634035e-05
"4226","S6",1.19153706644011e-05
"4227","S6",1.83547411936732e-05
"4228","S6",0.000258304778636176
"4229","S6",0.000134074060281732
"4230","S6",0.000224152406603442
"4231","S6",0.0002613867269224
"4232","S6",6.13672824154517e-05
"4233","S6",3.83498928035128e-05
"4234","S6",2.78334228027298e-05
"4235","S6",1.58149161930227e-05
"4236","S6",1.19254992753191e-05
"4237","S6",8.56410443337791e-06
"4238","S6",2.10775180196783e-06
"4702","S6",4.07032785828339e-05
"4703","S6",4.23551822431259e-05
"4704","S6",1.47102304489455e-05
"4705","S6",2.73117690152692e-06
"4707","S6",6.00875293934412e-06
"4708","S6",6.30721641693778e-05
"4709","S6",0.000108440850762075
"4710","S6",0.000228361602569441
"4711","S6",0.000119056787361095
"4712","S6",4.58185000230775e-05
"4713","S6",3.96307375320894e-05
"4714","S6",3.27516518581725e-05
"4715","S6",1.96979344972421e-05
"4716","S6",1.42990209757467e-05
"4717","S6",1.03962003274271e-05
"5183","S6",1.22721161100287e-05
"5184","S6",2.96695519460367e-06
"5189","S6",7.68973844954742e-06
"5190","S6",2.47463192354997e-05
"5191","S6",5.15036832663278e-05
"5192","S6",7.97692095929226e-05
"5193","S6",7.60048537273925e-05
"5194","S6",5.2494952828269e-05
"5195","S6",3.13604841160637e-05
"5196","S6",2.30914133821512e-05
"5197","S6",1.91004071034435e-05
"5670","S6",3.54804633954731e-09
"5671","S6",3.65194041441303e-06
"5672","S6",8.68613296731243e-06
"5673","S6",1.44608664741584e-05
"5674","S6",2.41599515088204e-05
"5675","S6",3.57920546445231e-05
"5676","S6",5.49476535799151e-05
"6155","S6",4.02566796217868e-07
"6156","S6",4.00929236368846e-06
"864","S6",3.90952251362768e-07
"865","S6",9.16851564357891e-07
"866","S6",1.59671182834346e-06
"867","S6",3.20752486649793e-06
"868","S6",3.7443412451532e-06
"869","S6",4.05578086829124e-06
"870","S6",4.66110183396393e-06
"871","S6",2.93026172391263e-06
"872","S6",1.2009075477984e-06
"873","S6",6.33392987010451e-06
"874","S6",6.45013596902028e-06
"875","S6",2.76474687843186e-07
"2299","S7",0
"2778","S7",0
"2779","S7",0
"3257","S7",0
"3258","S7",0
"3259","S7",0
"3260","S7",0
"3736","S7",0
"3737","S7",0
"3738","S7",0
"3739","S7",0
"3740","S7",0
"4215","S7",0
"4216","S7",0
"4217","S7",0
"4218","S7",0
"4219","S7",0
"4220","S7",0
"4221","S7",0
"4694","S7",0
"4695","S7",0
"4696","S7",0
"4697","S7",0
"4698","S7",0
"4699","S7",0
"4700","S7",0
"4701","S7",0
"5172","S7",0
"5173","S7",0
"5174","S7",0
"5175","S7",0
"5176","S7",0
"5177","S7",0
"5178","S7",0
"5179","S7",0
"5180","S7",0
"5181","S7",0
"5182","S7",0
"5649","S7",0
"5650","S7",0
"5651","S7",0
"5652","S7",0
"5653","S7",0
"5654","S7",0
"5655","S7",0
"5656","S7",0
"5657","S7",0
"5658","S7",0
"5659","S7",0
"5660","S7",0
"5661","S7",0
"6128","S7",0
"6129","S7",0
"6130","S7",0
"6131","S7",0
"6132","S7",0
"6133","S7",0
"6134","S7",0
"6135","S7",0
"6136","S7",0
"6137","S7",0
"6138","S7",0
"6139","S7",0
"6140","S7",0
"6604","S7",0
"6605","S7",0
"6606","S7",0
"6607","S7",0
"6608","S7",0
"6609","S7",0
"6610","S7",0
"6611","S7",0
"6612","S7",0
"6613","S7",0
"6614","S7",0
"6615","S7",0
"6616","S7",0
"6617","S7",0
"6618","S7",0
"7083","S7",0
"7084","S7",0
"7085","S7",0
"7086","S7",0
"7087","S7",0
"7088","S7",0
"7089","S7",0
"7090","S7",0
"7091","S7",0
"7092","S7",0
"7093","S7",0
"7094","S7",0
"7095","S7",0
"7096","S7",0
"7097","S7",0
"7561","S7",0
"7562","S7",0
"7563","S7",0
"7564","S7",0
"7565","S7",0
"7566","S7",0
"7567","S7",0
"7568","S7",0
"7569","S7",0
"7570","S7",0
"7571","S7",0
"7572","S7",0
"7573","S7",0
"7574","S7",0
"7575","S7",0
"8042","S7",0
"8043","S7",0
"8044","S7",0
"8045","S7",0
"8046","S7",0
"8047","S7",0
"8048","S7",0
"8049","S7",0
"8050","S7",0
"8051","S7",0
"8052","S7",0
"8053","S7",0
"8521","S7",0
"8522","S7",0
"8523","S7",0
"8524","S7",0
"8525","S7",0
"8526","S7",0
"8527","S7",0
"8528","S7",0
"8529","S7",0
"8530","S7",0
"9002","S7",0
"9003","S7",0
"9004","S7",0
"9005","S7",0
"9006","S7",0
"9007","S7",0
"9008","S7",0
"9482","S7",0
"9483","S7",0
"9484","S7",0
"9485","S7",0
"9962","S7",0
"10427","S8",0.00723465255890373
"10428","S8",0.00783453683879016
