deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,12,1,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,47,18,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,49,43,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,50,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,62,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,1,1,70,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,12,1,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,47,3,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,49,5,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,50,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,62,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,2,1,70,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,12,2,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,47,15,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,49,24,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,50,0,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,62,0,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,3,1,70,0,13,CFisher,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,12,5,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,47,9,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,49,17,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,50,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,62,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,4,1,70,0,13,LKapsenberg,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,5,1,12,5,13,NKollars,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,5,1,47,4,13,NKollars,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,5,1,49,25,13,NKollars,.,
2008-10-19,2009-03-31,.,CMEN00,exposed,int_mid,tuffy,5,1,50,0,13,NKollars,.,
