"id","long","lat","order","hole","piece","group","left","top","right","bottom","Segment","Estry","Region","Kdens_md","Kdens_mn","AREA","Kval_md","Kval_mn"
"10006",-124.42908913,42.6663503,1,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42755391,42.66568531,2,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42466383,42.6646467,3,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42185254,42.66375821,4,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.41987534,42.66327989,5,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.41919328,42.66316559,6,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.41832959,42.66210311,7,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42174835,42.65755802,8,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42879049,42.65747039,9,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.43241489,42.66192781,10,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10006",-124.42908913,42.6663503,11,FALSE,"1","10006.1",382607.146775689,4724768.1118,383761.847314068,4723768.1118,"S5","0","S",6.87397003173828,6.45058251990647,0.7318,5.030371,4.720536
"10007",-124.43220824,42.652925,12,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.42879049,42.65747039,13,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.42174835,42.65755802,14,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.41812496,42.65310024,15,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.42154326,42.64855516,16,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.42858439,42.64846755,17,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10007",-124.43220824,42.652925,18,FALSE,"1","10007.1",382607.146775689,4723768.1118,383761.847314068,4722768.1118,"S5","0","S",1.24446254968643,2.31624941423882,0.8664,1.078202,2.006798
"10008",-124.43200167,42.64392217,19,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.42858439,42.64846755,20,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.42154326,42.64855516,21,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.41792043,42.64409736,22,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.42133827,42.63955228,23,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.42837838,42.63946471,24,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10008",-124.43200167,42.64392217,25,FALSE,"1","10008.1",382607.146775689,4722768.1118,383761.847314068,4721768.1118,"S5","0","S",1.06507855653763,1.03513936802398,0.8664,0.922784,0.896845
"10009",-124.43179521,42.63491933,26,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.42837838,42.63946471,27,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.42133827,42.63955228,28,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.41771599,42.63509446,29,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.42113337,42.63054939,30,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.42817247,42.63046184,31,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10009",-124.43179521,42.63491933,32,FALSE,"1","10009.1",382607.146775689,4721768.1118,383761.847314068,4720768.1118,"S5","0","S",0.772646278142929,0.859811295603597,0.8664,0.669421,0.744941
"10010",-124.43158883,42.62591647,33,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.42817247,42.63046184,34,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.42113337,42.63054939,35,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.41751164,42.62609155,36,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.42092856,42.62154649,37,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.42796665,42.62145896,38,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10010",-124.43158883,42.62591647,39,FALSE,"1","10010.1",382607.146775689,4720768.1118,383761.847314068,4719768.1118,"S5","0","S",0.662326335906982,0.72523379499136,0.8664,0.57384,0.628343
"10011",-124.43138255,42.6169136,40,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.42796665,42.62145896,41,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.42092856,42.62154649,42,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.41730739,42.61708862,43,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.42072385,42.61254357,44,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.42776092,42.61245607,45,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10011",-124.43138255,42.6169136,46,FALSE,"1","10011.1",382607.146775689,4719768.1118,383761.847314068,4718768.1118,"S5","0","S",0.66013690829277,0.73775657872821,0.8664,0.571943,0.639192
"10012",-124.43117637,42.60791071,47,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.42776092,42.61245607,48,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.42072385,42.61254357,49,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.41710323,42.60808568,50,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.42051923,42.60354063,51,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.42755529,42.60345316,52,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10012",-124.43117637,42.60791071,53,FALSE,"1","10012.1",382607.146775689,4718768.1118,383761.847314068,4717768.1118,"S5","0","S",0.707461267709732,0.761898759839147,0.8664,0.612944,0.660109
"10013",-124.43097028,42.59890781,54,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.42755529,42.60345316,55,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.42051923,42.60354063,56,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.41689917,42.59908272,57,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.42031471,42.59453768,58,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.42734976,42.59445024,59,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10013",-124.43097028,42.59890781,60,FALSE,"1","10013.1",382607.146775689,4717768.1118,383761.847314068,4716768.1118,"S5","0","S",0.704535305500031,0.683844951003097,0.8664,0.610409,0.592483
"10014",-124.43076429,42.5899049,61,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.42734976,42.59445024,62,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.42031471,42.59453768,63,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.4166952,42.59007975,64,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.42011028,42.58553471,65,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.42714432,42.5854473,66,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10014",-124.43076429,42.5899049,67,FALSE,"1","10014.1",382607.146775689,4716768.1118,383761.847314068,4715768.1118,"S4","0","S",0.60911500453949,0.599053418913553,0.8664,0.527737,0.51902
"10015",-124.43055839,42.58090196,68,FALSE,"1","10015.1",382607.146775689,4715768.1118,383761.847314068,4714768.1118,"S4","0","S",0.569137006998062,0.61346463408581,0.8664,0.4931,0.531506
"10015",-124.42714432,42.5854473,69,FALSE,"1","10015.1",382607.146775689,4715768.1118,383761.847314068,4714768.1118,"S4","0","S",0.569137006998062,0.61346463408581,0.8664,0.4931,0.531506
"10015",-124.42011028,42.58553471,70,FALSE,"1","10015.1",382607.146775689,4715768.1118,383761.847314068,4714768.1118,"S4","0","S",0.569137006998062,0.61346463408581,0.8664,0.4931,0.531506
