id,long,lat,order,hole,piece,group,left,top,right,bottom,Segment,Estry,Region,Kdens_md,Kdens_mn,AREA,Kval_md,Kval_mn
2301,-124.6072384,42.8847371,19577,FALSE,1,2301.1,368750.7403,4749768.112,369905.4409,4748768.112,S6,0,S,0.089356475,0.080721698,0.8664,0.077418,0.069937
2302,-124.6070047,42.87573537,19584,FALSE,1,2302.1,368750.7403,4748768.112,369905.4409,4747768.112,S6,0,S,0.131358445,0.149161377,0.8664,0.113809,0.129233
2303,-124.6067711,42.86673363,19591,FALSE,1,2303.1,368750.7403,4747768.112,369905.4409,4746768.112,S6,0,S,0.253210425,0.279113318,0.8664,0.219382,0.241824
2304,-124.6065377,42.85773187,19598,FALSE,1,2304.1,368750.7403,4746768.112,369905.4409,4745768.112,S6,0,S,0.496027052,0.446641227,0.8664,0.429758,0.38697
2305,-124.6063043,42.84873009,19627,FALSE,1,2305.1,368750.7403,4745768.112,369905.4409,4744768.112,S6,0,S,0.689667583,0.709515547,0.8664,0.597528,0.614724
2306,-124.606071,42.8397283,19652,FALSE,1,2306.1,368750.7403,4744768.112,369905.4409,4743768.112,S6,0,S,0.975947618,0.957979331,0.8664,0.845561,0.829993
2307,-124.6058379,42.83072649,19659,FALSE,1,2307.1,368750.7403,4743768.112,369905.4409,4742768.112,S6,0,S,0.847356379,1.163980762,0.8664,0.73415,1.008473
2308,-124.6056048,42.82172467,19666,FALSE,1,2308.1,368750.7403,4742768.112,369905.4409,4741768.112,S6,0,S,0.83186698,0.949046053,0.8664,0.72073,0.822254
2309,-124.6053719,42.81272283,19673,FALSE,1,2309.1,368750.7403,4741768.112,369905.4409,4740768.112,S6,0,S,1.794847727,3.996465783,0.8664,1.555056,3.462538
2310,-124.6051391,42.80372098,19680,FALSE,1,2310.1,368750.7403,4740768.112,369905.4409,4739768.112,S6,0,S,9.036466599,8.340501108,0.8664,7.829195,7.22621
2311,-124.5972319,42.79151705,19687,FALSE,1,2311.1,368750.7403,4739768.112,369905.4409,4738768.112,S6,0,S,15.3138752,15,0.8367,12.813119,14.326958
2312,-124.6027473,42.78828654,19726,FALSE,1,2312.1,368750.7403,4738768.112,369905.4409,4737768.112,S6,0,S,60.37107849,15,0.829,50.047624,45.521762
2313,-124.6044412,42.77671533,19822,FALSE,1,2313.1,368750.7403,4737768.112,369905.4409,4736768.112,S6,0,S,48.69763947,15,0.8165,39.761623,32.87411
2314,-124.6042088,42.76771342,19886,FALSE,1,2314.1,368750.7403,4736768.112,369905.4409,4735768.112,S6,0,S,0.556165934,0.669909156,0.8664,0.481862,0.580409
2315,-124.5927024,42.75513088,19893,FALSE,1,2315.1,368750.7403,4735768.112,369905.4409,4734768.112,S6,0,S,0.192842536,0.184393503,0.6921,0.133466,0.127619
2780,-124.5967535,42.88938636,30645,FALSE,1,2780.1,369616.7657,4750268.112,370771.4663,4749268.112,S6,0,S,0.111678824,0.116362843,0.8664,0.096759,0.100817
2781,-124.5965213,42.88038459,30652,FALSE,1,2781.1,369616.7657,4749268.112,370771.4663,4748268.112,S6,0,S,0.218950398,0.222996395,0.8664,0.189699,0.193204
2782,-124.5962892,42.8713828,30659,FALSE,1,2782.1,369616.7657,4748268.112,370771.4663,4747268.112,S6,0,S,0.368149966,0.381443978,0.8664,0.318965,0.330483
2783,-124.5960572,42.862381,30666,FALSE,1,2783.1,369616.7657,4747268.112,370771.4663,4746268.112,S6,0,S,0.522836596,0.532321838,0.8664,0.452986,0.461204
2784,-124.5958253,42.85337919,30673,FALSE,1,2784.1,369616.7657,4746268.112,370771.4663,4745268.112,S6,0,S,0.882789433,0.881031878,0.8664,0.764849,0.763326
2785,-124.5955935,42.84437736,30718,FALSE,1,2785.1,369616.7657,4745268.112,370771.4663,4744268.112,S6,0,S,1.054260492,1.797163796,0.8664,0.913411,1.557063
2786,-124.5953619,42.83537551,30795,FALSE,1,2786.1,369616.7657,4744268.112,370771.4663,4743268.112,S6,0,S,3.053543925,6.938485867,0.8359,2.552457,5.79988
2787,-124.5951303,42.82637365,30958,FALSE,1,2787.1,369616.7657,4743268.112,370771.4663,4742268.112,S6,0,S,43.23615646,15,0.8544,36.940972,30.552559
2788,-124.5948988,42.81737177,30997,FALSE,1,2788.1,369616.7657,4742268.112,370771.4663,4741268.112,S6,0,S,7.852005482,7.609502098,0.8664,6.802978,6.592873
2789,-124.5946675,42.80836988,31004,FALSE,1,2789.1,369616.7657,4741268.112,370771.4663,4740268.112,S6,0,S,8.161076069,8.757022686,0.8664,7.070756,7.587084
2790,-124.5944363,42.79936798,31011,FALSE,1,2790.1,369616.7657,4740268.112,370771.4663,4739268.112,S6,0,S,19.28240967,15,0.8664,16.70628,15.293955
2791,-124.5865893,42.78670676,31018,FALSE,1,2791.1,369616.7657,4739268.112,370771.4663,4738268.112,S6,0,S,19.28240967,15,0.8613,16.607939,16.148771
2792,-124.5871252,42.78596185,31034,FALSE,1,2792.1,369616.7657,4738268.112,370771.4663,4737268.112,S6,0,S,3.221993208,15,0.855,2.754804,16.515496
2793,-124.5937432,42.77236217,31058,FALSE,1,2793.1,369616.7657,4737268.112,370771.4663,4736268.112,S6,0,S,1.031525075,1.104180023,0.8664,0.893713,0.956662
2794,-124.5935124,42.7633602,31065,FALSE,1,2794.1,369616.7657,4736268.112,370771.4663,4735268.112,S6,0,S,0.510410458,0.491806463,0.8664,0.44222,0.426101
2795,-124.5820685,42.75069702,31072,FALSE,1,2795.1,369616.7657,4735268.112,370771.4663,4734268.112,S6,0,S,0.167948976,0.179844383,0.6416,0.107756,0.115388
3261,-124.5860362,42.88503286,44762,FALSE,1,3261.1,370482.7911,4749768.112,371637.4917,4748768.112,S6,0,S,0.307522982,0.347555987,0.8664,0.266438,0.301123
3262,-124.5858056,42.87603104,44769,FALSE,1,3262.1,370482.7911,4748768.112,371637.4917,4747768.112,S6,0,S,0.597209156,0.556055656,0.8664,0.517422,0.481767
3263,-124.5855751,42.8670292,44776,FALSE,1,3263.1,370482.7911,4747768.112,371637.4917,4746768.112,S6,0,S,0.801167071,0.859916754,0.8664,0.694131,0.745032
3264,-124.5853447,42.85802734,44783,FALSE,1,3264.1,370482.7911,4746768.112,371637.4917,4745768.112,S6,0,S,1.300640941,1.274807,0.8664,1.126875,1.104493
3265,-124.5851144,42.84902548,44893,FALSE,1,3265.1,370482.7911,4745768.112,371637.4917,4744768.112,S6,0,S,1.829425216,1.949816741,0.8664,1.585014,1.689321
3266,-124.5848842,42.84002359,45031,FALSE,1,3266.1,370482.7911,4744768.112,371637.4917,4743768.112,S6,0,S,2.834314108,3.351437305,0.8579,2.431558,2.875198
3267,-124.5846542,42.83102169,45134,FALSE,1,3267.1,370482.7911,4743768.112,371637.4917,4742768.112,S6,0,S,84.01459503,15,0.857,72.000508,65.951788
3268,-124.5844242,42.82201978,45247,FALSE,1,3268.1,370482.7911,4742768.112,371637.4917,4741768.112,S6,0,S,45.36998749,15,0.8574,38.900227,34.914685
3269,-124.5841943,42.81301785,45489,FALSE,1,3269.1,370482.7911,4741768.112,371637.4917,4740768.112,S6,0,S,9.889873505,12.68037652,0.8664,8.568586,10.986278
3270,-124.5839646,42.8040159,45851,FALSE,1,3270.1,370482.7911,4740768.112,371637.4917,4739768.112,S6,0,S,9.888581276,11.83028256,0.8664,8.567467,10.249757
3271,-124.5837349,42.79501394,46093,FALSE,1,3271.1,370482.7911,4739768.112,371637.4917,4738768.112,S6,0,S,17.79644775,15,0.8664,15.418842,15.316177
3272,-124.5835054,42.78601197,46170,FALSE,1,3272.1,370482.7911,4738768.112,371637.4917,4737768.112,S6,0,S,8.734559059,9.096709154,0.8664,7.567622,7.881389
3273,-124.5832759,42.77700998,46271,FALSE,1,3273.1,370482.7911,4737768.112,371637.4917,4736768.112,S6,0,S,1.360157728,1.384615325,0.8664,1.178441,1.199631
3274,-124.5830466,42.76800797,46523,FALSE,1,3274.1,370482.7911,4736768.112,371637.4917,4735768.112,S6,0,S,0.745694041,0.748286003,0.8664,0.646069,0.648315
3275,-124.5828173,42.75900595,47340,FALSE,1,3275.1,370482.7911,4735768.112,371637.4917,4734768.112,S6,0,S,0.435273737,0.436548517,0.8664,0.377121,0.378226
3276,-124.5717098,42.74589723,47417,FALSE,1,3276.1,370482.7911,4734768.112,371637.4917,4733768.112,S6,0,S,0.201069444,0.195725955,0.6644,0.133591,0.13004
3741,-124.5753205,42.88067833,53652,FALSE,1,3741.1,371348.8165,4749268.112,372503.5171,4748268.112,S6,0,S,0.829181492,0.848513126,0.8664,0.718403,0.735152
3742,-124.5750914,42.87167646,53659,FALSE,1,3742.1,371348.8165,4748268.112,372503.5171,4747268.112,S6,0,S,1.096936464,1.118310716,0.8664,0.950386,0.968904
3743,-124.5748625,42.86267456,53666,FALSE,1,3743.1,371348.8165,4747268.112,372503.5171,4746268.112,S6,0,S,1.366964102,1.438165885,0.8664,1.184338,1.246027
3744,-124.5746337,42.85367266,53673,FALSE,1,3744.1,371348.8165,4746268.112,372503.5171,4745268.112,S6,0,S,1.886285186,1.909448776,0.8664,1.634277,1.654346
3745,-124.5639755,42.84031116,53711,FALSE,1,3745.1,371348.8165,4745268.112,372503.5171,4744268.112,S6,0,S,2.769271255,2.511341543,0.8308,2.300711,2.086423
3746,-124.5651241,42.84029546,53886,FALSE,1,3746.1,371348.8165,4744268.112,372503.5171,4743268.112,S6,0,S,2.772502661,14.73614163,0.6654,1.844823,9.805429
3747,-124.573948,42.82666685,54002,FALSE,1,3747.1,371348.8165,4743268.112,372503.5171,4742268.112,S6,0,S,46.03044891,15,0.8664,39.880781,39.66223
3748,-124.5737196,42.81766488,54009,FALSE,1,3748.1,371348.8165,4742268.112,372503.5171,4741268.112,S6,0,S,6.093444586,10.14375205,0.8664,5.27936,8.788547
3749,-124.5734913,42.80866289,54016,FALSE,1,3749.1,371348.8165,4741268.112,372503.5171,4740268.112,S6,0,S,9.676274776,11.82195803,0.8664,8.383524,10.242544
3750,-124.5732631,42.7996609,54023,FALSE,1,3750.1,371348.8165,4740268.112,372503.5171,4739268.112,S6,0,S,9.494573593,13.16647459,0.8664,8.226099,11.407434
3751,-124.5730351,42.79065888,54030,FALSE,1,3751.1,371348.8165,4739268.112,372503.5171,4738268.112,S6,0,S,8.498602867,9.652572923,0.8664,7.36319,8.362989
3752,-124.5728071,42.78165685,54037,FALSE,1,3752.1,371348.8165,4738268.112,372503.5171,4737268.112,S6,0,S,1.60705924,1.84517151,0.8664,1.392356,1.598657
3753,-124.5725792,42.77265481,54044,FALSE,1,3753.1,371348.8165,4737268.112,372503.5171,4736268.112,S6,0,S,1.101389408,1.066648862,0.8664,0.954244,0.924145
3754,-124.5723515,42.76365275,54086,FALSE,1,3754.1,371348.8165,4736268.112,372503.5171,4735268.112,S6,0,S,0.600373626,0.599425255,0.8664,0.520164,0.519342
3755,-124.5721238,42.75465068,54093,FALSE,1,3755.1,371348.8165,4735268.112,372503.5171,4734268.112,S6,0,S,0.422136948,0.406680875,0.8664,0.365739,0.352348
3756,-124.5669058,42.74121438,54100,FALSE,1,3756.1,371348.8165,4734268.112,372503.5171,4733268.112,S6,0,S,0.267318994,0.251454861,0.8091,0.216288,0.203452
3757,-124.5586305,42.73542216,54112,FALSE,1,3757.1,371348.8165,4733268.112,372503.5171,4732268.112,S6,0,S,0.161224738,0.158697053,0.1506,0.02428,0.0239
387,-124.644694,42.82584433,54457,FALSE,1,387.1,365286.6387,4743768.112,366441.3392,4742768.112,S6,0,S,0.035424944,0.039593786,0.5565,0.019714,0.022034
388,-124.6474534,42.82049867,54471,FALSE,1,388.1,365286.6387,4742768.112,366441.3392,4741768.112,S6,0,S,0.032491527,0.046666887,0.8375,0.027212,0.039084
389,-124.6456921,42.80964043,54669,FALSE,1,389.1,365286.6387,4741768.112,366441.3392,4740768.112,S6,0,S,0.065481029,0.058124425,0.8401,0.055011,0.04883
390,-124.6429174,42.79868251,54680,FALSE,1,390.1,365286.6387,4740768.112,366441.3392,4739768.112,S6,0,S,0.050086282,0.052109866,0.7566,0.037895,0.039426
391,-124.6367441,42.78976581,54698,FALSE,1,391.1,365286.6387,4739768.112,366441.3392,4738768.112,S6,0,S,0.045077853,0.046615519,0.4192,0.018897,0.019541
392,-124.6335558,42.78612132,54712,FALSE,1,392.1,365286.6387,4738768.112,366441.3392,4737768.112,S6,0,S,0.034325395,0.034496795,0.006,0.000206,0.000207
394,-124.636942,42.76274752,54913,FALSE,1,394.1,365286.6387,4736768.112,366441.3392,4735768.112,S6,0,S,0.072246857,0.070538731,0.4426,0.031976,0.03122
