"Lam","br1","br2","wr1","wr2","fs1","fs2","ms1","ms2","Gf","Gm"
1.2,0,1,0,0.9,0.94,0.96,0.92,0.92,0.329598523706017,0.323562731438062
0.94,0,1.02,0,0.5,0.68,0.84,0.65,0.83,0.307771427384129,0.295554357598794
1.09,0,1.00659923682478,0,0.720294052110433,0.857080434317101,0.911976110878952,0.854351334700949,0.874958553846027,0.329232200055269,0.328334584337604
1.05,0,1.00895101730848,0,0.753824483826416,0.792859561475753,0.883622410112969,0.772384705048505,0.874337482103001,0.31847275775886,0.31124587013108
1.11,0,1.00427376152257,0,0.727654900608152,0.869672627881141,0.930642664213757,0.810153038506916,0.889290868203282,0.327842404277776,0.308176779940014
1.16,0,1.00377330395378,0,0.843221882762422,0.897053959847719,0.948777005165442,0.898507991059067,0.905779974060708,0.325149506977705,0.325603348942975
1.09,0,1.00716298247914,0,0.756890637370042,0.836091580201316,0.910955670887239,0.830558612896647,0.896490107682177,0.322888449077514,0.321036262696407
1.01,0,1.01501598408169,0,0.570381418668816,0.776884810303192,0.880453464985778,0.702143969997763,0.84993498832927,0.323082745693268,0.295382575095183
1.18,0,1.00143663838521,0,0.881995997101431,0.924445380633707,0.952904410260648,0.914819101419235,0.905477889160621,0.328539793289736,0.325600122628917
1.15,0,1.00424772344908,0,0.837235665566852,0.877595940727788,0.950083666685541,0.87488891702129,0.900889402079041,0.320879194658149,0.320019151324134
1.1,0,1.0057774143311,0,0.780218131164013,0.834571605570698,0.921789186254274,0.826531844804959,0.900986290324067,0.319252754785937,0.316567321391003
1.07,0,1.00854552665411,0,0.701472348893747,0.822519136687056,0.907441456858492,0.778495901491422,0.881986218802106,0.322764844231853,0.307565399913445
1.16,0,1.00222488616805,0,0.870602722455145,0.88820253995062,0.946721920652474,0.881474644063068,0.896926450332407,0.322594821866864,0.320474963544524
1,0,1.01647302208492,0,0.571497966933831,0.734769475175634,0.876064496186451,0.680894915015957,0.849103764811994,0.312269936839153,0.291645412765633
1.03,0,1.01139677271193,0,0.682287499863424,0.778823556901789,0.883271389042094,0.76156524965289,0.863227473062315,0.31793252734663,0.311742907815239
0.95,0,1.01852119087897,0,0.540836506347677,0.690215251663145,0.843380113985551,0.685846380533673,0.833467158078872,0.308348019430005,0.30661293866999
1.1,0,1.00653337928603,0,0.741986315264806,0.840408776976158,0.924330724706664,0.818698174562744,0.889181039000364,0.321676414285678,0.314414398844121
0.98,0,1.01690174124639,0,0.582985490309543,0.747969383118038,0.856633946874832,0.720775004886637,0.847204731390904,0.32022414347667,0.309990962863452
0.94,0,1.01990664944797,0,0.513693498088763,0.68277621928451,0.846578508914448,0.664360096770441,0.830738975192722,0.306358278847438,0.298942740346199
1.03,0,1.00953774543023,0,0.657293944034037,0.771106213369526,0.892426072883863,0.741377780891565,0.864691777901203,0.314917901692891,0.304142520233113
1.04,0,1.01229894274295,0,0.6443376917267,0.787577303434887,0.888936123654282,0.736255536154447,0.867502044747614,0.320563862372521,0.302049562717358
1.15,0,1.00541818422596,0,0.84681667893426,0.906110509551867,0.9285521723608,0.861748494779744,0.906501807049204,0.330999460789367,0.316960217347906
1.15,0,1.00298815223313,0,0.864974208844858,0.892250967692739,0.937448718572052,0.884001078007462,0.905421364664614,0.325551799955341,0.322952615949406
0.95,0,1.01742440869616,0,0.525285458777861,0.684201362189155,0.847022893785985,0.663267125093357,0.832126064136844,0.306244359856176,0.297825073802431
1.03,0,1.00977039674847,0,0.652558566589495,0.781789279447519,0.886809728772064,0.761571875300761,0.869775848421544,0.319244278166126,0.311999232129354
0.96,0,1.01740485962241,0,0.519293868440967,0.71050401194021,0.851332163433266,0.675659151314047,0.837269877858722,0.313555044211026,0.299832535764921
1.19,0,1.00123139841899,0,0.887804379134023,0.928319973973328,0.956260394839462,0.89812910785032,0.915787982935113,0.328432563598348,0.319187162657772
1.18,0,1.00153754016714,0,0.876614784789537,0.925331371039477,0.953644903445461,0.90498126234662,0.912766584621081,0.328794706086201,0.322560922485419
1.04,0,1.00934568772805,0,0.686761865214889,0.787603310916318,0.887663289168284,0.770773737523612,0.866467104843143,0.319068910483145,0.31309220334156
1.02,0,1.01404487849872,0,0.618588793028463,0.765069152571308,0.880981909142829,0.720939646219087,0.867110213590881,0.317536450924052,0.301258277870542
1.12,0,1.00602491097674,0,0.761525986125018,0.873214719457724,0.925072852025676,0.850434297769077,0.884573113142549,0.328264040490911,0.320864662062724
1.02,0,1.01264931248858,0,0.632199079699401,0.757826179189292,0.886572168719907,0.746711196738728,0.869403866912215,0.313685933822436,0.309623382661153
0.97,0,1.01490160499662,0,0.545410088600698,0.725236240160098,0.859532486183938,0.708578571173862,0.840340549867871,0.314760810067178,0.308372828600626
0.95,0,1.01902504743092,0,0.516622150058711,0.697566326369705,0.844568496475231,0.666226167381933,0.832515111188584,0.311394986380167,0.298880377793651
0.99,0,1.01650300799293,0,0.606535108748824,0.732641680865262,0.864801738616648,0.699332583449712,0.851055551121047,0.312839355180068,0.300145391302012
0.95,0,1.01852254674833,0,0.515704578296201,0.698928714439614,0.846847745822986,0.667060397688917,0.831251462425746,0.311287595260086,0.298586461273402
1.02,0,1.01556419991955,0,0.642433166613085,0.773185218041146,0.879512400775093,0.708513380467685,0.86898532919139,0.318954240442731,0.29511065451936
1.02,0,1.01371965498982,0,0.627665492791397,0.764765276838469,0.883583014373635,0.722218087431217,0.858031876036746,0.316446074395814,0.300780420164615
1.18,0,1.00047734779622,0,0.887451222956593,0.931131769660487,0.950276614108861,0.902141958606119,0.914871980319144,0.33023621776267,0.321368589152044
1.02,0,1.01343481449171,0,0.640185160801432,0.77005794175003,0.87527679509504,0.720576379575699,0.85407575453952,0.319275054105394,0.301057843630432
0.98,0,1.0151240247375,0,0.580455238884003,0.74225698123413,0.858245692474438,0.683789530431594,0.845386348231913,0.318380945984891,0.295979311106101
1.02,0,1.01336764149616,0,0.631658439761865,0.759017759627537,0.884628920083963,0.760205212431873,0.857522504841029,0.31447082062297,0.31490252745176
0.98,0,1.0151147571289,0,0.582756169176387,0.722886389035974,0.864721063391329,0.708072634260624,0.848775231127205,0.311116740424999,0.305452257058484
1.05,0,1.01043812195513,0,0.656242589046666,0.798892721857962,0.900719958256322,0.791726933418927,0.88287275539492,0.320307525965049,0.317803991809149
0.99,0,1.01324452766373,0,0.564169995391251,0.740595783039221,0.874920601687972,0.723940504006365,0.854738454065756,0.314631176467949,0.308378665440808
0.97,0,1.01616607410505,0,0.59276811589914,0.713316601437564,0.847311203797537,0.675387896990636,0.834498879966521,0.312130064838504,0.29726588735269
