move,logmove,Otter,Site,Sex,Ageclass,AgeSex
22.5286251,3.114786727,1,1,0,1,2
13.0221586,2.566652414,1,1,0,1,2
18.07585755,2.894577211,1,1,0,1,2
8.474155,2.137020943,1,1,0,1,2
0.477472,-0.73924976,1,1,0,1,2
20.0101777,2.996241029,1,1,0,1,2
0.64402645,-0.440015482,1,1,0,1,2
18.07585755,2.894577211,1,1,0,1,2
0.8128265,-0.207237599,1,1,0,1,2
22.1105601,3.096055327,1,1,0,1,2
14.03452765,2.641520554,1,1,0,1,2
13.03799775,2.567867998,1,1,0,1,2
13.0079743,2.565562577,1,1,0,1,2
7.62873395,2.031921901,1,1,0,1,2
13.00678435,2.565471094,1,1,0,1,2
1.06531415,0.063269732,1,1,0,1,2
3.95339005,1.374573451,1,1,0,1,2
0.477472,-0.73924976,1,1,0,1,2
22.0199323,3.091948057,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
27.148523,3.301322643,1,1,0,1,2
22.0199323,3.091948057,1,1,0,1,2
5.97333815,1.787305925,1,1,0,1,2
21.4720657,3.066752821,1,1,0,1,2
14.57291555,2.679164707,1,1,0,1,2
15.40952085,2.734985555,1,1,0,1,2
23.66351175,3.163934273,1,1,0,1,2
27.0339686,3.297094172,1,1,0,1,2
9.5391163,2.25540085,1,1,0,1,2
9.58683835,2.260391153,1,1,0,1,2
0.4591108,-0.778463704,1,1,0,1,2
3.9164019,1.36517335,1,1,0,1,2
23.66351175,3.163934273,1,1,0,1,2
7.62873395,2.031921901,1,1,0,1,2
18.00347785,2.890564953,1,1,0,1,2
11.51673685,2.443801356,1,1,0,1,2
22.0199323,3.091948057,1,1,0,1,2
13.03799775,2.567867998,1,1,0,1,2
4.06552845,1.402543735,1,1,0,1,2
0.01994245,-3.914904653,1,1,0,1,2
9.54199265,2.255702337,1,1,0,1,2
13.0639257,2.569854668,1,1,0,1,2
5.55919485,1.715453287,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
16.59535005,2.809122539,1,1,0,1,2
23.66351175,3.163934273,1,1,0,1,2
3.95339005,1.374573451,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
22.12054605,3.096506862,1,1,0,1,2
4.1692497,1.427736092,1,1,0,1,2
18.00347785,2.890564953,1,1,0,1,2
1.12106605,0.114280063,1,1,0,1,2
8.98655855,2.195729967,1,1,0,1,2
0.5736652,-0.555709328,1,1,0,1,2
15.40952085,2.734985555,1,1,0,1,2
14.57291555,2.679164707,1,1,0,1,2
0.8785913,-0.12943545,1,1,0,1,2
0.64402645,-0.440015482,1,1,0,1,2
2.5852087,0.94980624,1,1,0,1,2
1.51077785,0.412624651,1,1,0,1,2
5.07614215,1.624551554,1,1,0,1,2
0.477472,-0.73924976,1,1,0,1,2
21.5727229,3.071429688,1,1,0,1,2
9.58683835,2.260391153,1,1,0,1,2
2.5852087,0.94980624,1,1,0,1,2
4.0174211,1.390640179,1,1,0,1,2
9.5391163,2.25540085,1,1,0,1,2
15.8892661,2.765643793,1,1,0,1,2
22.12054605,3.096506862,1,1,0,1,2
23.66351175,3.163934273,1,1,0,1,2
5.96103465,1.785244065,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
9.4765381,2.24881907,1,1,0,1,2
7.4217373,2.004413167,1,1,0,1,2
4.04016825,1.396286337,1,1,0,1,2
9.5886765,2.260582871,1,1,0,1,2
22.05796785,3.09367389,1,1,0,1,2
23.66351175,3.163934273,1,1,0,1,2
9.4765381,2.24881907,1,1,0,1,2
22.0199323,3.091948057,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
8.474155,2.137020943,1,1,0,1,2
12.9840372,2.563720695,1,1,0,1,2
4.07484585,1.404832918,1,1,0,1,2
12.92000615,2.558776974,1,1,0,1,2
22.00840765,3.091424546,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
2.57332255,0.945197885,1,1,0,1,2
18.1441163,2.898346337,1,1,0,1,2
15.96234465,2.770232489,1,1,0,1,2
21.1548985,3.051871486,1,1,0,1,2
22.01762025,3.091843053,1,1,0,1,2
0.477472,-0.73924976,1,1,0,1,2
22.12054605,3.096506862,1,1,0,1,2
16.59535005,2.809122539,1,1,0,1,2
9.5018983,2.2514916,1,1,0,1,2
9.4672207,2.247835379,1,1,0,1,2
0.4591108,-0.778463704,1,1,0,1,2
25.0407863,3.220505947,1,1,0,1,2
4.36456635,1.473518837,1,1,0,1,2
4.38634015,1.478495201,2,1,0,1,2
4.41369325,1.484711811,2,1,0,1,2
8.4293569,2.131720482,2,1,0,1,2
17.0093722,2.833764498,2,1,0,1,2
5.96375545,1.785700392,2,1,0,1,2
13.5337782,2.605188649,2,1,0,1,2
8.4580953,2.135124006,2,1,0,1,2
6.52715255,1.875970792,2,1,0,1,2
1.6491238,0.500244117,2,1,0,1,2
9.23E-05,-9.290466416,2,1,0,1,2
15.1583474,2.718551364,2,1,0,1,2
0.1374707,-1.984344475,2,1,0,1,2
5.573084,1.717948581,2,1,0,1,2
0.03676425,-3.303229373,2,1,0,1,2
14.0141492,2.640067476,2,1,0,1,2
17.5884612,2.867243073,2,1,0,1,2
4.06186575,1.401642412,2,1,0,1,2
11.80014165,2.468111536,2,1,0,1,2
6.106599,1.80936999,2,1,0,1,2
4.06186575,1.401642412,2,1,0,1,2
13.432919,2.597708336,2,1,0,1,2
0.05134265,-2.969233488,2,1,0,1,2
0.09958355,-2.306758289,2,1,0,1,2
10.9862466,2.396644181,2,1,0,1,2
5.64147155,1.730144945,2,1,0,1,2
19.0973515,2.949549661,2,1,0,1,2
0.0080669,-4.819986009,2,1,0,1,2
4.019918,1.391261504,2,1,0,1,2
2.40938905,0.879373209,2,1,0,1,2
3.876714,1.354987888,2,1,0,1,2
4.00755685,1.388181791,2,1,0,1,2
5.98985115,1.790066562,2,1,0,1,2
11.83891895,2.47139232,2,1,0,1,2
0.13696215,-1.988050669,2,1,0,1,2
4.00812415,1.388323339,2,1,0,1,2
4.14881325,1.422822329,2,1,0,1,2
15.6806984,2.752430555,2,1,0,1,2
17.4578435,2.859789032,2,1,0,1,2
7.57894015,2.025373368,2,1,0,1,2
14.1968183,2.653017876,2,1,0,1,2
17.5115873,2.862862793,2,1,0,1,2
5.96966545,1.786690887,2,1,0,1,2
0.6598217,-0.415785632,2,1,0,1,2
5.96063195,1.785176507,2,1,0,1,2
5.97748735,1.788000304,2,1,0,1,2
3.9728748,1.379489964,2,1,0,1,2
4.0152408,1.390097321,2,1,0,1,2
0.0143747,-4.242285562,2,1,0,1,2
6.084519,1.805747676,2,1,0,1,2
5.99970055,1.79170956,2,1,0,1,2
9.61755365,2.263589934,2,1,0,1,2
5.9539013,1.784046685,2,1,0,1,2
6.5448549,1.87867923,2,1,0,1,2
