"CellID","BlockID","Celldens"
"11509","S1",1.60592971121812e-05
"11510","S1",1.96631232417428e-05
"11511","S1",2.16270060202118e-05
"11512","S1",3.71572020676784e-05
"11513","S1",3.88916277517558e-05
"11514","S1",1.42249901046628e-05
"11515","S1",3.30283241162443e-06
"11989","S1",0.000123329138992623
"11990","S1",8.58506969927961e-05
"11991","S1",9.67661059477641e-05
"11992","S1",0.0001586344873338
"11993","S1",0.000173900132848909
"11994","S1",0.00018324038633826
"11995","S1",0.000142264748270383
"11996","S1",5.90474088726334e-05
"11997","S1",2.72716505422442e-05
"11998","S1",1.06495086749966e-05
"11999","S1",1.52251530866872e-06
"12468","S1",0.00152040430340032
"12469","S1",0.000464731600999758
"12470","S1",0.000264828580365829
"12471","S1",0.000284107025537562
"12472","S1",0.000290408997147646
"12473","S1",0.000284510600074169
"12474","S1",0.000268281234762615
"12475","S1",0.000274013612879562
"12476","S1",0.000168834530053312
"12477","S1",6.24690190742958e-05
"12478","S1",3.55968938258157e-05
"12479","S1",2.0479720548254e-05
"12949","S1",0.0031388988151578
"12950","S1",0.00139110253121544
"12951","S1",0.000496649082829624
"12952","S1",0.000413327812865592
"12953","S1",0.000428844511436918
"12954","S1",0.000465638631396412
"12955","S1",0.000468950912041335
"12956","S1",0.000390278172860152
"12957","S1",0.000260435151882037
"12958","S1",0.000122231794182385
"12959","S1",5.4652630641228e-05
"12960","S1",9.99218158694551e-06
"13428","S1",0.000261415068649851
"13429","S1",0.00201485599711424
"13430","S1",0.00268362489568982
"13431","S1",0.000702349269465976
"13432","S1",0.00048734392277824
"13433","S1",0.000469357186073169
"13434","S1",0.000517923804722564
"13435","S1",0.000505082305922321
"13436","S1",0.000425210990859847
"13437","S1",0.000278366548934931
"13438","S1",0.000155921494629523
"13439","S1",8.19944680594038e-05
"13910","S1",0.00108476381272657
"13911","S1",0.00359565340775842
"13912","S1",0.00200084966612306
"13913","S1",0.000646731569280689
"13914","S1",0.000618756700231515
"13915","S1",0.000642859143375928
"13916","S1",0.000629252337678508
"13917","S1",0.000521974397312382
"13918","S1",0.000380547842310336
"13919","S1",0.000254593444208351
"13920","S1",5.75856322065978e-05
"14390","S1",0.000175922054774783
"14391","S1",0.00134208374711534
"14392","S1",0.00307518802827856
"14393","S1",0.00124778497980609
"14394","S1",0.000875469248193953
"14395","S1",0.000884154874090481
"14396","S1",0.000816486627206795
"14397","S1",0.000688195815984859
"14398","S1",0.000521537079085424
"14399","S1",0.00034141730923089
"14872","S1",0.000338100979343125
"14873","S1",0.0031782453078555
"14874","S1",0.00280734951073336
"14875","S1",0.00201363177602828
"14876","S1",0.00131934994805159
"14877","S1",0.00109606524949916
"14878","S1",0.000888143378290052
"14879","S1",0.000688920630453613
"14880","S1",0.000199907069876771
"15353","S1",0.00068353108823064
"15354","S1",0.00262553040863272
"15355","S1",0.00235181104073302
"15356","S1",0.0018045612695996
"15357","S1",0.00132481642588856
"15358","S1",0.00106936049295482
"15359","S1",0.000802110465369357
"15834","S1",0.000122624570738079
"15835","S1",0.00223353940605031
"15836","S1",0.00245988533219145
"15837","S1",0.00191871347456417
"15838","S1",0.00147382991222929
"15839","S1",0.00121640199803139
"15840","S1",0.000401732131113133
"16314","S1",0.000897722537107093
"16315","S1",0.00241705919014468
"16316","S1",0.00265718738917307
"16317","S1",0.0022583113240113
"16318","S1",0.00161522272354098
"16319","S1",0.00127675596259444
"16795","S1",0.00100725455598871
"16796","S1",0.00220335634990452
"16797","S1",0.00324149988004118
"16798","S1",0.00252054433971528
"16799","S1",0.00165235967939445
"16800","S1",0.000600664683212548
"17275","S1",1.64588224059454e-05
"17276","S1",0.00143456575413605
"17277","S1",0.00292153950863113
"17278","S1",0.00279702124199051
"17279","S1",0.00160292652277682
"17757","S1",0.0011796173263052
"17758","S1",0.00266750351018739
"17759","S1",0.00337475371324005
"17760","S1",0.000993449337392024
"18237","S1",0.000362701479357129
"18238","S1",0.00224657121926414
"18239","S1",0.004
"18718","S1",6.11003749936309e-05
"18719","S1",0.00200689113644362
"18720","S1",0.00139593192817858
"19199","S1",0.000718525994620581
"10052","S2",0.00826864862434303
"10053","S2",0.00835139581387632
"10054","S2",0.00316158083874426
"10055","S2",0.00167700164511342
"10056","S2",0.00135192041020849
"10057","S2",0.000417954942601925
"10058","S2",6.14614995392339e-05
"10531","S2",0.000398762469499762
"10532","S2",0.00982022936488698
"10533","S2",0.0151381120010585
"10534","S2",0.00513144678499975
"10535","S2",0.00355281237902628
"10536","S2",0.0021327833427485
"10537","S2",0.00097661592467727
"10538","S2",0.000636765881701718
"10539","S2",0.000415759390661979
"10540","S2",0.000264777982045884
"10541","S2",0.000141026999396843
"10542","S2",5.26048662899565e-05
"10543","S2",1.09917144790138e-05
"10544","S2",1.34431040390816e-06
"11013","S2",0.0049020767295786
"11014","S2",0.0138973553625891
"11015","S2",0.00503342376374869
"11016","S2",0.00471164515993986
"11017","S2",0.00297883835248842
"11018","S2",0.00184880358441427
"11019","S2",0.00129490583366627
"11020","S2",0.00107631351944185
"11021","S2",0.000975862366596186
"11022","S2",0.000837454214110763
"11023","S2",0.000709930789463211
"11024","S2",0.00051227064415778
"11025","S2",0.000323122914212736
"11026","S2",0.000126034914857757
"11027","S2",5.8191429594779e-06
"11493","S2",0.000449134571105027
"11494","S2",0.013638810515288
"11495","S2",0.018
"11496","S2",0.0113353183576155
"11497","S2",0.00649337277195151
"11498","S2",0.00411562723373377
"11499","S2",0.00393008914002897
"11500","S2",0.00313565285884327
"11501","S2",0.00246559087378109
"11502","S2",0.00196685636552425
"11503","S2",0.00175845569176684
"11504","S2",0.00166460980111338
"11505","S2",0.0012389983362802
"11506","S2",0.000500097425033117
"11507","S2",0.000232295907476712
"11508","S2",0.000122234563300688
"11975","S2",0.000540687226363576
"11976","S2",0.00209030034302915
"11977","S2",0.00356013398655483
"11978","S2",0.00388693165931112
"11979","S2",0.00655920676899827
"11980","S2",0.00527327385840861
"11981","S2",0.00483908485591174
"11982","S2",0.00393552685235482
"11983","S2",0.00385144930719689
"11984","S2",0.00327587048104192
"11985","S2",0.00326444151681215
"11986","S2",0.00291461845824497
"11987","S2",0.00152330370613095
"11988","S2",0.000615610436314264
